R01B04,"polling(?), non-blocking cache",nonblocking cache," Non-blocking cache access, Non-blocking memory access
, Non-blocking synchronization
, Non-blocking load/store unit
, Non-blocking communication
, Non-blocking interconnect
, Non-blocking arbitration
, Non-blocking contention resolution
, Non-blocking atomic operation
,  Non-blocking pipeline"
R01B05,"banked cache, multibanked cache, partitioned cache",,"Banked cache architecture
, Banked cache organization
, Banked cache memory
, Banked memory system
, Multi-banked cache
, Multi-banked memory
, Banked access to cache
, Bank selection for cache
, Bank conflict resolution
, Banking scheme for cache"
R01B06,"cache prediction, way prediction",,"branch history table
, cache replacement policy
, conditional branch target
, data access pattern
, history buffer table
, instruction fetch unit
, instruction history table
, local branch history
, loop branch predictor
, stride prediction table"
R01B07,"write through, write back, copy back","write allocate, write buffer, write-back",", Write hit policy
, Write miss policy
, Write allocate policy
, Write through policy
, Write back policy
, Write merging policy
, Write combining policy
, Write invalidation policy
, Write buffer policy
,  Write coalescing policy"
R01B08,"cache replacement, cache eviction",,",  Block replacement policy
, Dynamic replacement policy
,  Associative replacement policy
,  Random replacement policy
, Hybrid replacement policy
, Set-associative replacement policy
, Parallel replacement policy
, Adaptable replacement policy
, Markov replacement policy
, Cost-sensitive replacement policy"
R01B09,"error detection, error correcting ","error detection code, error correction code, error detecting and correcting code, error correction",",  Error correction code
,  Checksum calculation
,  Fault tolerance mechanism
,  Error correction technique
,  Redundancy-based approach
, Data validation circuitry
, Bit error correction
,  Parity check circuit
, Error checking mechanism
, Data integrity control"
R01C01,"vector processor, SIMD processor","data vector, SIMD extensions, SIMD for loops, massively parrallel multiprocessors, small-scale, vector architecture",",  Vector processing unit
, SIMD instructions
, Vector register file
, SIMD data path
, Vector ALU
, SIMD data processing
,  Vectorization support
, SIMD data operations
, Vector memory access
, SIMD-enabled processor"
R01C02,"accelerator, neutral network",,", Neural network accelerator
,  AI hardware accelerator
, Neural engine chip
, AI computing chip
, Deep learning processor
, Neural network unit
, AI inference engine
, Neural processing unit
,  AI computing unit
, Neural network chip"
R01C03,"graphics processing unit, GPU, graphics processor, computer graphics system","GPU visual application, GPU heterogeneous, graphics logical pipeline, graphics processing units, graphics logical pipeline,",", Graphics Processing Unit
, Parallel Processing Unit
, Compute Accelerator Unit
, Shader Processing Unit
, Video Processing Unit
, Programmable Graphics Pipeline
, Multi-Core Processor
, GPU Technology
, Pixel Processing Unit
,  Vertex Processing Unit"
R01C04,matrix encoder ,,
R01D01,"packet router, message router",,", Packet routing algorithm
, Network on-chip
, Virtual router architecture
, Topology discovery mechanism
,  Congestion control mechanism
, Routing table lookup
, Link state routing
, Dynamic routing protocol
, Quality of service
, Multicast routing algorithm

"
R01D02,"routing topology, loop-free(?)","network topologies, network implementing, multistage, operating system",", Network hierarchy
, Routing schemes
,  Link allocation
,  Path selection
,  Data transmission
, Connection mapping
, Routing efficiency
, Network congestion
, Interconnect mapping
, Communication topology"
R01D03,"flow control, congestion control(?)",,", Packet flow control
, Link congestion management
,  Interconnect arbitration scheme
, Path bandwidth allocation
, Traffic flow regulation
, Communication congestion avoidance
, Network load balancing
,  Interconnect buffer management
, Flow-based routing
, Bandwidth allocation control"
R01D04,"Interconnect protocol, Internet protocol(?)",,",  Data transfer protocol
, Communication scheme
, Packet transmission method
,  Network interface protocol
,  Message exchange mechanism
,  Link layer protocol
, Intercommunication standard
, Bus arbitration protocol
, Data exchange format
, Transmission control method
"
R01E01,"superscalar processor, superscalar microprocessor","dynamic pipeline scheduling, multithreading options",", Dynamic Instruction Dispatch
, Execution Pipeline Optimization
, Out-of-Order Execution
, Parallel Processing Unit
, Speculative Execution Techniques
, Superscalar Architecture Design
, Multiple Functional Units
, Simultaneous Instruction Execution
, Vector Instruction Processing
, Hybrid Processor Architecture"
R01E02,"simultaneous multithreading, multi-threaded processor, hardware multithreading(?)",,", Parallel Processing Unit
, Thread Management Unit
, Processor Architecture Technology
,  Instruction Level Parallelism
, Hardware Multi-Threading
, Resource Sharing Technology
,  Multi-Thread Execution
, Dynamic Resource Allocation
, Multiple Logical Processors
, Concurrent Thread Execution"
R01E03,"symmetric multiprocessing, shared-memory multiprocessing",,", Cache coherency protocol
, Shared memory architecture
, Thread-level parallelism
, Multi-core processor
, Parallel processing unit
, System bus interconnect
, Task scheduling algorithm
, Symmetric multiprocessing
, Core affinity mapping
, Processor affinity mask
"
R01F01,"chip validation, chip verification, design verification",,",  Validation flow control
, Debugging interface circuit
, Verification methodology flow
, Debugging control logic
, Emulation probe circuit
, Validation signal generator
,  Debugging trigger circuit
,  Verification test bench
, Emulation mode selection
, Validation status register"
R01F02,"debug apparatus, debug interface(?)",,", Code analysis tool
,  Trace capture tool
, Error detection tool
, Performance analyzer tool
, Diagnostic tool
, Code profiler tool
, Fault isolation tool
,  Runtime analysis tool
, Tracing tool
, Code inspector tool"
,"chip security, micro-architecture security, security checking",,", Side channel attacks
,  Hardware security features
,  Memory protection mechanisms
,  Secure boot process
, Attack detection methods
, Branch prediction security
, Trusted execution environments
, Register file security
, Code obfuscation technique, Security-aware microarchitecture"
R02A01,,"arithmetic instructions, add operation, subtract operation, multiplication operation,  division operation,logical, operands, arithmetic intensity, arithmetic logic unit","Math computation unit
,  Numeric operation decoder
, ALU operation control
, Integer calculation engine
, Floating-point processing module
, Data arithmetic pipeline
, Operation opcode handling
, Instruction execution engine
, Arithmetic logic pipeline
, Computation data path
"
R02A02,,"logical instruction, boolean instruction, logical operation, bitwise operation(?)",
R02A03,,"shift instruction, shift operation instruction, shift logical operation, shift arithmetic operation",
R02A04,,"conditional execution instruction, condition attribute, condition flag",
R02B01,,"jump instruction, branch instruction,
jump table, jump address table, jump register, retrun address, caller, callee, instruction address register, program counter, ",
R02C01,,"load instruction, store instruction, load and store instruction, load/store instruction",
R02D01,,"load/store operation, load and store operation, floating-point value, floating-point number",
R02D02,,"computing operation, floating-point value, floating-point number",
R02D03,,"conversion operation, move operation, conversion and move operation, floating-point value, floating-point number",
R02D04,,"comparison operation, floating-point value, floating-point number",
R02D05,,"classify operation, floating-point value, floating-point number",
R02E01,,"memory ordering, memory ordering operation, memory ordering instruction, FENCE instruction",
R02F01,,"environment call, breakpoint instruction, breakpoint exception, breakpoint trap",
R02G01,,"Hint instruction, HINT encoding, performance hints",
R02H01,,"atomic instruction, atomic memory operation",
R02H02,,"load reserved, store conditional instruction, lock-free data structures",
R02I01,,CSR instruction,
R02J01,,compressed instruction,
R02K01,,"bit manipulation, bit permutation, byte permutation, bit extraction, bit insertion, instruction",
R02L01,,"language translation, ISA translation, instruction",
R02M01,,"transactional memory, instruction, buffer",
R02N01,,"Packed-SIMD, SIMD operation, instruction",
R02O01,,vector instruction,
R02P01,,debug instruction,
R02Q01,,"environment call, breakpoint instruction, breakpoint exception, breakpoint trap, privilege mode",
R02Q02,,"trap return, exception return, interrupt return, instruction",
R02Q03,,"WFI instruction, interrupt management",
R02Q04,,"custom defined, system instruction",
R02Q05,,"supervisor instruction, memory management, fence instruction",
R02Q06,,"hypervisor instruction, memory management, fence instruction, hypervisor virtual-machine",
R02Q07,,"exception instruction, trap instruction, exception handling vector, trap exception",
R03A01,,"scheduler, resource assigning, resource allocation, task assigning, task allocation, concurrent instruction execution, operating system",
R03A02,,"memory management, memory allocation, operating system",
R03A03,,"security, high-level security, low-level security, operating system",
R03A04,,"data access, file system, directory tree, operating system",
R03B01,,"hypervisor, emulator, host machine, guest machine, virtual machine",
R03B02,,"containers, virtual private servers, virtual environments, virtual kernels, multiple instances, isolated user space, virtualization",
R04A01,,"clock domain crossing, clock domain, clock crossing, CDC",
R04B01,,"power management, integrated circuits, ICs, PMICs, PMU",
R04B02,,"voltage scaling, overvolting, undervolting, increase voltage, decrease voltage",
R04B03,,"multiple power domains, multi-power domains",
R04B04,,"multiple voltage domains, multi-voltage domains",
R05A01,,"silicon substrate, silicon slice, silicon wafer, semiconductor device, semiconductor material, integrated circuits, electronic circuit",
R05B01,,"diodes, semiconductor device, semiconductor material, integrated circuits, electronic circuit",
R05B02,,"capacitors, semiconductor device, semiconductor material, integrated circuits, electronic circuit",
R05B03,,"transistors, semiconductor device, semiconductor material, integrated circuits, electronic circuit",
R05B04,,"MOS transistor, metal–oxide–silicon transistor, MOSFET, MOS-FET, MOS FET",
R06A01,,"wafer cleaning, substrate cleaning",
R06A02,,"passivation, semiconductor fabrication, IC fabrication",
R06A03,,"photolithography, optical lithography, semiconductor fabrication, IC fabrication",
R06A04,,"Ion implantation, semiconductor fabrication, IC fabrication",
R06A05,,"etching, semiconductor fabrication, IC fabrication",
R06A06,,"thermal oxidation, semiconductor fabrication, IC fabrication",
R06A07,,"thin-film deposition, semiconductor fabrication, IC fabrication",
R06A08,,"electroplating, semiconductor fabrication, IC fabrication",
R06B01,,"wafer testing, silicon wafer, semiconductor fabrication, IC fabrication",
R06B02,,"IC testing, chip testing, semiconductor fabrication, IC fabrication",
R06B03,,"test fixture, semiconductor fabrication, IC fabrication",
R06B04,,,
